flight_id,flight_no,delay_cause,delay_classification,on_time
1185,PG0134,weather_ct,Moderate delay,False
3979,PG0052,weather_ct,Short delay,False
4739,PG0561,security_ct,Short delay,False
5502,PG0529,carrier_ct,Moderate delay,False
6938,PG0461,nas_ct,Short delay,False
7784,PG0667,No delays,On-time,True
9478,PG0360,late_aircraft_ct,Short delay,False
11085,PG0569,security_ct,Short delay,False
11847,PG0498,carrier_ct,Short delay,False
12012,PG0621,late_aircraft_ct,Short delay,False
13113,PG0612,late_aircraft_ct,Short delay,False
14806,PG0676,weather_ct,Short delay,False
16837,PG0010,nas_ct,Moderate delay,False
17173,PG0059,weather_ct,Short delay,False
19807,PG0035,nas_ct,Short delay,False
23609,PG0648,security_ct,Moderate delay,False
23695,PG0388,security_ct,Moderate delay,False
23780,PG0098,security_ct,Short delay,False
23945,PG0076,No delays,On-time,True
24705,PG0632,nas_ct,Short delay,False
25382,PG0556,carrier_ct,Short delay,False
26057,PG0467,carrier_ct,Moderate delay,False
27580,PG0483,carrier_ct,Short delay,False
29272,PG0334,late_aircraft_ct,Short delay,False
29440,PG0065,late_aircraft_ct,Moderate delay,False
32658,PG0674,No delays,On-time,True
1,PG0405,nas_ct,Short delay,False
2,PG0404,No delays,On-time,True
3,PG0405,No delays,On-time,True
4,PG0402,nas_ct,Short delay,False
5,PG0405,carrier_ct,Short delay,False
6,PG0404,security_ct,Moderate delay,False
7,PG0403,nas_ct,Short delay,False
8,PG0402,security_ct,Short delay,False
9,PG0405,security_ct,Moderate delay,False
10,PG0402,nas_ct,Short delay,False
11,PG0403,No delays,On-time,True
12,PG0404,security_ct,Short delay,False
13,PG0405,late_aircraft_ct,Moderate delay,False
14,PG0402,No delays,On-time,True
15,PG0402,security_ct,Short delay,False
16,PG0403,No delays,On-time,True
17,PG0404,No delays,On-time,True
18,PG0405,No delays,On-time,True
19,PG0403,No delays,On-time,True
20,PG0403,No delays,On-time,True
21,PG0405,No delays,On-time,True
22,PG0404,No delays,On-time,True
23,PG0403,No delays,On-time,True
24,PG0402,No delays,On-time,True
25,PG0404,late_aircraft_ct,Short delay,False
26,PG0405,carrier_ct,Long delay,False
27,PG0404,No delays,On-time,True
28,PG0405,No delays,On-time,True
29,PG0403,No delays,On-time,True
30,PG0402,No delays,On-time,True
31,PG0404,nas_ct,Short delay,False
32,PG0403,carrier_ct,Short delay,False
33,PG0402,security_ct,Short delay,False
34,PG0402,No delays,On-time,True
35,PG0403,No delays,On-time,True
36,PG0404,No delays,On-time,True
37,PG0405,No delays,On-time,True
38,PG0405,No delays,On-time,True
39,PG0405,carrier_ct,Short delay,False
40,PG0402,security_ct,Short delay,False
41,PG0403,No delays,On-time,True
42,PG0404,nas_ct,Moderate delay,False
43,PG0405,security_ct,Moderate delay,False
44,PG0404,nas_ct,Short delay,False
45,PG0403,nas_ct,Moderate delay,False
46,PG0405,No delays,On-time,True
47,PG0404,weather_ct,Short delay,False
48,PG0403,No delays,On-time,True
49,PG0402,No delays,On-time,True
50,PG0402,No delays,On-time,True
51,PG0403,No delays,On-time,True
52,PG0404,carrier_ct,Long delay,False
53,PG0405,No delays,On-time,True
54,PG0405,No delays,On-time,True
55,PG0404,No delays,On-time,True
56,PG0403,carrier_ct,Long delay,False
57,PG0402,No delays,On-time,True
58,PG0402,nas_ct,Short delay,False
59,PG0402,No delays,On-time,True
60,PG0402,No delays,On-time,True
61,PG0403,carrier_ct,Long delay,False
62,PG0404,No delays,On-time,True
63,PG0402,late_aircraft_ct,Short delay,False
64,PG0403,late_aircraft_ct,Short delay,False
65,PG0405,late_aircraft_ct,Short delay,False
66,PG0404,carrier_ct,Short delay,False
67,PG0404,No delays,On-time,True
68,PG0403,weather_ct,Short delay,False
69,PG0402,security_ct,Short delay,False
70,PG0404,weather_ct,Short delay,False
71,PG0405,late_aircraft_ct,Short delay,False
72,PG0402,No delays,On-time,True
73,PG0403,security_ct,Short delay,False
74,PG0404,carrier_ct,Long delay,False
75,PG0405,No delays,On-time,True
76,PG0405,late_aircraft_ct,Short delay,False
77,PG0402,security_ct,Short delay,False
78,PG0402,nas_ct,Short delay,False
79,PG0403,nas_ct,Short delay,False
80,PG0404,carrier_ct,Short delay,False
81,PG0405,security_ct,Short delay,False
82,PG0402,No delays,On-time,True
83,PG0402,carrier_ct,Long delay,False
84,PG0403,No delays,On-time,True
85,PG0404,carrier_ct,Short delay,False
86,PG0405,No delays,On-time,True
87,PG0405,late_aircraft_ct,Short delay,False
88,PG0404,No delays,On-time,True
89,PG0403,No delays,On-time,True
90,PG0402,No delays,On-time,True
91,PG0405,No delays,On-time,True
92,PG0404,No delays,On-time,True
93,PG0403,No delays,On-time,True
94,PG0402,security_ct,Moderate delay,False
95,PG0403,No delays,On-time,True
96,PG0402,No delays,On-time,True
97,PG0404,security_ct,Short delay,False
98,PG0405,carrier_ct,Short delay,False
99,PG0403,No delays,On-time,True
100,PG0402,nas_ct,Short delay,False
101,PG0405,security_ct,Short delay,False
102,PG0404,late_aircraft_ct,Short delay,False
103,PG0403,No delays,On-time,True
104,PG0402,security_ct,Short delay,False
105,PG0403,carrier_ct,Short delay,False
106,PG0402,No delays,On-time,True
107,PG0403,No delays,On-time,True
108,PG0404,No delays,On-time,True
109,PG0405,No delays,On-time,True
110,PG0403,No delays,On-time,True
111,PG0404,late_aircraft_ct,Short delay,False
112,PG0405,nas_ct,Short delay,False
113,PG0404,No delays,On-time,True
114,PG0405,No delays,On-time,True
115,PG0402,carrier_ct,Short delay,False
116,PG0403,No delays,On-time,True
117,PG0405,No delays,On-time,True
118,PG0404,carrier_ct,Short delay,False
119,PG0404,carrier_ct,Short delay,False
120,PG0404,No delays,On-time,True
121,PG0405,weather_ct,Short delay,False
122,PG0405,weather_ct,Moderate delay,False
123,PG0402,No delays,On-time,True
124,PG0403,No delays,On-time,True
125,PG0404,No delays,On-time,True
126,PG0405,No delays,On-time,True
127,PG0403,nas_ct,Short delay,False
128,PG0402,late_aircraft_ct,Short delay,False
129,PG0405,nas_ct,Short delay,False
130,PG0404,No delays,On-time,True
131,PG0403,No delays,On-time,True
132,PG0402,No delays,On-time,True
133,PG0405,carrier_ct,Short delay,False
134,PG0404,weather_ct,Short delay,False
135,PG0403,carrier_ct,Short delay,False
136,PG0402,late_aircraft_ct,Short delay,False
137,PG0404,carrier_ct,Short delay,False
138,PG0405,nas_ct,Short delay,False
139,PG0402,No delays,On-time,True
140,PG0403,No delays,On-time,True
141,PG0404,security_ct,Short delay,False
142,PG0405,No delays,On-time,True
143,PG0404,nas_ct,Moderate delay,False
144,PG0403,carrier_ct,Short delay,False
145,PG0402,late_aircraft_ct,Short delay,False
146,PG0403,carrier_ct,Short delay,False
147,PG0402,security_ct,Short delay,False
148,PG0403,carrier_ct,Moderate delay,False
149,PG0404,nas_ct,Moderate delay,False
150,PG0405,carrier_ct,Moderate delay,False
151,PG0405,late_aircraft_ct,Short delay,False
152,PG0405,No delays,On-time,True
153,PG0404,No delays,On-time,True
154,PG0403,No delays,On-time,True
155,PG0402,No delays,On-time,True
156,PG0404,carrier_ct,Moderate delay,False
157,PG0402,late_aircraft_ct,Short delay,False
158,PG0403,No delays,On-time,True
159,PG0404,No delays,On-time,True
160,PG0405,late_aircraft_ct,Short delay,False
161,PG0403,carrier_ct,Short delay,False
162,PG0405,nas_ct,Short delay,False
163,PG0402,nas_ct,Moderate delay,False
164,PG0404,late_aircraft_ct,Moderate delay,False
165,PG0403,No delays,On-time,True
166,PG0402,weather_ct,Short delay,False
167,PG0402,No delays,On-time,True
168,PG0405,carrier_ct,Short delay,False
169,PG0404,nas_ct,Short delay,False
170,PG0403,late_aircraft_ct,Short delay,False
171,PG0402,security_ct,Short delay,False
172,PG0402,security_ct,Short delay,False
173,PG0402,No delays,On-time,True
174,PG0403,late_aircraft_ct,Short delay,False
175,PG0404,No delays,On-time,True
176,PG0405,No delays,On-time,True
177,PG0403,carrier_ct,Short delay,False
178,PG0404,security_ct,Short delay,False
179,PG0405,No delays,On-time,True
180,PG0403,No delays,On-time,True
181,PG0404,No delays,On-time,True
182,PG0405,No delays,On-time,True
183,PG0405,No delays,On-time,True
184,PG0404,No delays,On-time,True
185,PG0403,weather_ct,Short delay,False
186,PG0402,No delays,On-time,True
187,PG0402,security_ct,Short delay,False
188,PG0403,security_ct,Short delay,False
189,PG0404,carrier_ct,Short delay,False
190,PG0405,carrier_ct,Moderate delay,False
191,PG0402,carrier_ct,Long delay,False
192,PG0403,No delays,On-time,True
193,PG0404,carrier_ct,Long delay,False
194,PG0405,No delays,On-time,True
195,PG0402,No delays,On-time,True
196,PG0404,carrier_ct,Short delay,False
197,PG0405,carrier_ct,Short delay,False
198,PG0404,No delays,On-time,True
199,PG0403,weather_ct,Short delay,False
200,PG0402,carrier_ct,Moderate delay,False
201,PG0405,carrier_ct,Moderate delay,False
202,PG0404,security_ct,Short delay,False
203,PG0403,carrier_ct,Short delay,False
204,PG0402,nas_ct,Short delay,False
205,PG0402,No delays,On-time,True
206,PG0403,No delays,On-time,True
207,PG0404,No delays,On-time,True
208,PG0405,No delays,On-time,True
209,PG0405,nas_ct,Short delay,False
210,PG0405,No delays,On-time,True
211,PG0404,No delays,On-time,True
212,PG0403,No delays,On-time,True
213,PG0402,No delays,On-time,True
214,PG0404,No delays,On-time,True
215,PG0405,late_aircraft_ct,Short delay,False
216,PG0404,nas_ct,Short delay,False
217,PG0403,security_ct,Short delay,False
218,PG0402,nas_ct,Short delay,False
219,PG0403,No delays,On-time,True
220,PG0402,No delays,On-time,True
221,PG0402,No delays,On-time,True
222,PG0403,No delays,On-time,True
223,PG0404,No delays,On-time,True
224,PG0405,No delays,On-time,True
225,PG0402,security_ct,Short delay,False
226,PG0403,No delays,On-time,True
227,PG0404,No delays,On-time,True
228,PG0405,carrier_ct,Short delay,False
229,PG0405,No delays,On-time,True
230,PG0402,No delays,On-time,True
231,PG0403,nas_ct,Short delay,False
232,PG0404,nas_ct,Short delay,False
233,PG0405,carrier_ct,Short delay,False
234,PG0403,late_aircraft_ct,Moderate delay,False
235,PG0405,security_ct,Short delay,False
236,PG0404,security_ct,Moderate delay,False
237,PG0403,nas_ct,Short delay,False
238,PG0402,security_ct,Short delay,False
239,PG0405,No delays,On-time,True
240,PG0404,late_aircraft_ct,Short delay,False
241,PG0403,No delays,On-time,True
242,PG0402,No delays,On-time,True
243,PG0402,No delays,On-time,True
244,PG0403,weather_ct,Short delay,False
245,PG0222,No delays,On-time,True
246,PG0222,carrier_ct,Short delay,False
247,PG0222,No delays,On-time,True
248,PG0222,carrier_ct,Short delay,False
249,PG0222,No delays,On-time,True
250,PG0222,carrier_ct,Short delay,False
251,PG0222,No delays,On-time,True
252,PG0222,nas_ct,Short delay,False
253,PG0222,late_aircraft_ct,Short delay,False
254,PG0222,security_ct,Short delay,False
255,PG0222,No delays,On-time,True
256,PG0222,carrier_ct,Short delay,False
257,PG0222,nas_ct,Short delay,False
258,PG0222,weather_ct,Short delay,False
259,PG0222,security_ct,Short delay,False
260,PG0222,late_aircraft_ct,Moderate delay,False
261,PG0222,No delays,On-time,True
262,PG0222,late_aircraft_ct,Short delay,False
263,PG0222,weather_ct,Short delay,False
264,PG0222,No delays,On-time,True
265,PG0222,carrier_ct,Long delay,False
266,PG0222,No delays,On-time,True
267,PG0222,No delays,On-time,True
268,PG0222,No delays,On-time,True
269,PG0222,nas_ct,Short delay,False
270,PG0222,security_ct,Short delay,False
271,PG0222,carrier_ct,Long delay,False
272,PG0222,nas_ct,Short delay,False
273,PG0222,late_aircraft_ct,Short delay,False
274,PG0222,carrier_ct,Short delay,False
275,PG0222,No delays,On-time,True
276,PG0222,carrier_ct,Short delay,False
277,PG0222,No delays,On-time,True
278,PG0222,No delays,On-time,True
279,PG0222,No delays,On-time,True
280,PG0222,No delays,On-time,True
281,PG0222,No delays,On-time,True
282,PG0222,No delays,On-time,True
283,PG0222,late_aircraft_ct,Moderate delay,False
284,PG0222,late_aircraft_ct,Short delay,False
285,PG0222,weather_ct,Short delay,False
286,PG0222,No delays,On-time,True
287,PG0222,carrier_ct,Short delay,False
288,PG0222,security_ct,Short delay,False
289,PG0222,late_aircraft_ct,Short delay,False
290,PG0222,No delays,On-time,True
291,PG0222,late_aircraft_ct,Short delay,False
292,PG0222,No delays,On-time,True
293,PG0222,nas_ct,Moderate delay,False
294,PG0222,security_ct,Short delay,False
295,PG0222,nas_ct,Short delay,False
296,PG0222,carrier_ct,Short delay,False
297,PG0222,late_aircraft_ct,Short delay,False
298,PG0222,No delays,On-time,True
299,PG0222,carrier_ct,Short delay,False
300,PG0222,security_ct,Short delay,False
301,PG0222,No delays,On-time,True
302,PG0222,No delays,On-time,True
303,PG0222,carrier_ct,Moderate delay,False
304,PG0222,late_aircraft_ct,Short delay,False
305,PG0222,security_ct,Short delay,False
306,PG0202,No delays,On-time,True
307,PG0202,No delays,On-time,True
308,PG0202,No delays,On-time,True
309,PG0202,carrier_ct,Short delay,False
310,PG0202,late_aircraft_ct,Short delay,False
311,PG0202,weather_ct,Short delay,False
312,PG0202,No delays,On-time,True
313,PG0202,No delays,On-time,True
314,PG0202,No delays,On-time,True
315,PG0202,No delays,On-time,True
316,PG0202,late_aircraft_ct,Short delay,False
317,PG0202,No delays,On-time,True
318,PG0202,security_ct,Moderate delay,False
319,PG0202,late_aircraft_ct,Short delay,False
320,PG0202,No delays,On-time,True
321,PG0202,No delays,On-time,True
322,PG0202,carrier_ct,Short delay,False
323,PG0202,security_ct,Moderate delay,False
324,PG0202,carrier_ct,Long delay,False
325,PG0202,nas_ct,Short delay,False
326,PG0202,No delays,On-time,True
327,PG0202,No delays,On-time,True
328,PG0202,No delays,On-time,True
329,PG0202,security_ct,Short delay,False
330,PG0202,carrier_ct,Short delay,False
331,PG0202,carrier_ct,Long delay,False
332,PG0202,No delays,On-time,True
333,PG0202,carrier_ct,Long delay,False
334,PG0202,nas_ct,Moderate delay,False
335,PG0202,No delays,On-time,True
336,PG0202,late_aircraft_ct,Short delay,False
337,PG0202,late_aircraft_ct,Moderate delay,False
338,PG0202,nas_ct,Moderate delay,False
339,PG0202,No delays,On-time,True
340,PG0202,No delays,On-time,True
341,PG0202,late_aircraft_ct,Moderate delay,False
342,PG0202,No delays,On-time,True
343,PG0202,security_ct,Short delay,False
344,PG0202,No delays,On-time,True
345,PG0202,No delays,On-time,True
346,PG0202,carrier_ct,Long delay,False
347,PG0202,security_ct,Short delay,False
348,PG0202,late_aircraft_ct,Moderate delay,False
349,PG0202,nas_ct,Short delay,False
350,PG0202,nas_ct,Short delay,False
351,PG0202,No delays,On-time,True
352,PG0202,No delays,On-time,True
353,PG0202,No delays,On-time,True
354,PG0202,nas_ct,Short delay,False
355,PG0202,No delays,On-time,True
356,PG0202,No delays,On-time,True
357,PG0202,No delays,On-time,True
358,PG0202,No delays,On-time,True
359,PG0202,late_aircraft_ct,Short delay,False
360,PG0202,weather_ct,Short delay,False
361,PG0202,No delays,On-time,True
362,PG0202,No delays,On-time,True
363,PG0202,No delays,On-time,True
364,PG0202,No delays,On-time,True
365,PG0202,No delays,On-time,True
366,PG0202,weather_ct,Short delay,False
367,PG0273,No delays,On-time,True
368,PG0273,security_ct,Short delay,False
369,PG0273,nas_ct,Short delay,False
370,PG0273,No delays,On-time,True
371,PG0273,No delays,On-time,True
372,PG0273,No delays,On-time,True
373,PG0273,late_aircraft_ct,Short delay,False
374,PG0273,No delays,On-time,True
375,PG0273,No delays,On-time,True
376,PG0273,No delays,On-time,True
377,PG0273,No delays,On-time,True
378,PG0273,security_ct,Moderate delay,False
379,PG0273,nas_ct,Short delay,False
380,PG0273,weather_ct,Short delay,False
381,PG0273,No delays,On-time,True
382,PG0273,No delays,On-time,True
383,PG0273,No delays,On-time,True
384,PG0273,nas_ct,Short delay,False
385,PG0273,carrier_ct,Long delay,False
386,PG0273,weather_ct,Short delay,False
387,PG0273,No delays,On-time,True
388,PG0273,No delays,On-time,True
389,PG0273,carrier_ct,Short delay,False
390,PG0273,nas_ct,Short delay,False
391,PG0273,No delays,On-time,True
392,PG0273,carrier_ct,Long delay,False
393,PG0273,nas_ct,Short delay,False
394,PG0273,carrier_ct,Moderate delay,False
395,PG0273,carrier_ct,Moderate delay,False
396,PG0273,No delays,On-time,True
397,PG0273,No delays,On-time,True
398,PG0273,late_aircraft_ct,Short delay,False
399,PG0273,No delays,On-time,True
400,PG0273,security_ct,Short delay,False
401,PG0273,weather_ct,Short delay,False
402,PG0273,No delays,On-time,True
403,PG0273,No delays,On-time,True
404,PG0273,No delays,On-time,True
405,PG0273,carrier_ct,Short delay,False
406,PG0273,weather_ct,Short delay,False
407,PG0273,security_ct,Short delay,False
408,PG0273,security_ct,Short delay,False
409,PG0273,No delays,On-time,True
410,PG0273,nas_ct,Short delay,False
411,PG0273,No delays,On-time,True
412,PG0273,security_ct,Short delay,False
413,PG0273,nas_ct,Moderate delay,False
414,PG0273,No delays,On-time,True
415,PG0273,carrier_ct,Short delay,False
416,PG0273,carrier_ct,Long delay,False
417,PG0273,nas_ct,Short delay,False
418,PG0273,No delays,On-time,True
419,PG0273,carrier_ct,Short delay,False
420,PG0273,late_aircraft_ct,Short delay,False
421,PG0273,weather_ct,Short delay,False
422,PG0273,No delays,On-time,True
423,PG0273,No delays,On-time,True
424,PG0273,late_aircraft_ct,Short delay,False
425,PG0273,No delays,On-time,True
426,PG0273,carrier_ct,Short delay,False
427,PG0273,No delays,On-time,True
428,PG0216,No delays,On-time,True
429,PG0216,late_aircraft_ct,Short delay,False
430,PG0216,No delays,On-time,True
431,PG0216,nas_ct,Short delay,False
432,PG0216,nas_ct,Moderate delay,False
433,PG0216,No delays,On-time,True
434,PG0216,No delays,On-time,True
435,PG0216,No delays,On-time,True
436,PG0216,No delays,On-time,True
437,PG0216,nas_ct,Short delay,False
438,PG0216,nas_ct,Short delay,False
439,PG0216,late_aircraft_ct,Moderate delay,False
440,PG0216,No delays,On-time,True
441,PG0216,carrier_ct,Long delay,False
442,PG0216,No delays,On-time,True
443,PG0216,No delays,On-time,True
444,PG0216,nas_ct,Short delay,False
445,PG0216,nas_ct,Short delay,False
446,PG0216,late_aircraft_ct,Moderate delay,False
447,PG0216,carrier_ct,Short delay,False
448,PG0216,security_ct,Short delay,False
449,PG0216,No delays,On-time,True
450,PG0216,security_ct,Moderate delay,False
451,PG0216,No delays,On-time,True
452,PG0216,No delays,On-time,True
453,PG0216,No delays,On-time,True
