airport_code,airport_name,city,timezone,longitud,latitud
YKS,Yakutsk Airport,Yakutsk,Asia/Yakutsk,129.77099609375,62.093299865722656
KHV,Khabarovsk-Novy Airport,Khabarovsk,Asia/Vladivostok,135.18800354004,48.52799987793
PKC,Yelizovo Airport,Petropavlovsk,Asia/Kamchatka,158.45399475097656,53.16790008544922
UUS,Yuzhno-Sakhalinsk Airport,Yuzhno-Sakhalinsk,Asia/Sakhalin,142.71800231933594,46.88869857788086
VVO,Vladivostok International Airport,Vladivostok,Asia/Vladivostok,132.1479949951172,43.39899826049805
LED,Pulkovo Airport,St. Petersburg,Europe/Moscow,30.262500762939453,59.80030059814453
KGD,Khrabrovo Airport,Kaliningrad,Europe/Kaliningrad,20.592599868774414,54.88999938964844
KEJ,Kemerovo Airport,Kemorovo,Asia/Novokuznetsk,86.1072006225586,55.27009963989258
CEK,Chelyabinsk Balandino Airport,Chelyabinsk,Asia/Yekaterinburg,61.5033,55.305801
MQF,Magnitogorsk International Airport,Magnetiogorsk,Asia/Yekaterinburg,58.755699157714844,53.39310073852539
PEE,Bolshoye Savino Airport,Perm,Asia/Yekaterinburg,56.021198272705,57.914501190186
SGC,Surgut Airport,Surgut,Asia/Yekaterinburg,73.40180206298828,61.34370040893555
BZK,Bryansk Airport,Bryansk,Europe/Moscow,34.176399231,53.214199066199996
MRV,Mineralnyye Vody Airport,Mineralnye Vody,Europe/Moscow,43.08190155029297,44.225101470947266
STW,Stavropol Shpakovskoye Airport,Stavropol,Europe/Moscow,42.11280059814453,45.10919952392578
ASF,"Astrakhan Airpor/Samara,48.00630188,46.28329849
NJC, """"Nizhnevartovsk Airport",Nizhnevartovsk,Asia/Yekaterinburg,76.48359680175781,60.94929885864258
SVX,Koltsovo Airport,Yekaterinburg,Asia/Yekaterinburg,60.802700042725,56.743099212646
SVO,Sheremetyevo International Airport,Moscow,Europe/Moscow,37.4146,55.972599
VOZ,Voronezh International Airport,Voronezh,Europe/Moscow,39.22959899902344,51.81420135498047
VKO,Vnukovo International Airport,Moscow,Europe/Moscow,37.2615013123,55.5914993286
SCW,Syktyvkar Airport,Syktyvkar,Europe/Moscow,50.84510040283203,61.64699935913086
KUF,rumoch International Airport,Samara,Europe/Samara,50.16429901123,53.504901885986
DME,Domodedovo International Airport,Moscow,Europe/Moscow,37.90629959106445,55.40879821777344
TJM,Roshchino International Airport,Tyumen,Asia/Yekaterinburg,65.3243026733,57.189601898199996
GOJ,Nizhny Novgorod Strigino International Airport,Nizhniy Novgorod,Europe/Moscow,43.784000396729,56.230098724365
TOF,Bogashevo Airport,Tomsk,Asia/Krasnoyarsk,85.208297729492,56.380298614502
UIK,Ust-Ilimsk Airport,Ust Ilimsk,Asia/Irkutsk,102.56500244140625,58.13610076904297
NSK,Norilsk-Alykel Airport,Norilsk,Asia/Krasnoyarsk,87.33219909667969,69.31109619140625
ARH,Talagi Airport,Arkhangelsk,Europe/Moscow,40.71670150756836,64.60030364990234
RTW,Saratov Central Airport,Saratov,Europe/Volgograd,46.04669952392578,51.564998626708984
NUX,Novy Urengoy Airport,Novy Urengoy,Asia/Yekaterinburg,76.52030181884766,66.06939697265625
NOJ,Noyabrsk Airport,Noyabrsk,Asia/Yekaterinburg,75.2699966430664,63.18330001831055
UCT,Ukhta Airport,Ukhta,Europe/Moscow,53.8046989440918,63.566898345947266
